Localidad,Fecha,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg) Medina 2016,Biomasa de arboles muertos (kg),Biomasa total (kg)
San Andres,3/9/2022,Old Point,1,P1,Rm,23,7.321110262,,M,3,33.51516328,23.460614,56.975778
San Andres,3/9/2022,Old Point,1,P1,Rm,19,6.047873695,,V,,21.53431656,,21.534317
San Andres,3/9/2022,Old Point,1,P1,Rm,44,14.00560224,,V,,150.4938881,,150.493888
San Andres,3/9/2022,Old Point,1,P1,Rm,38,12.09574739,,V,,107.1780477,,107.178048
San Andres,3/9/2022,Old Point,1,P1,Lr,21,6.684491979,,V,,16.03367779,,16.033678
San Andres,3/9/2022,Old Point,1,P1,Lr,26,8.276037688,,M,3,25.79531146,18.056718,43.852029
San Andres,3/9/2022,Old Point,1,P1,Rm,18,5.729564553,,V,,19.00051235,,19.000512
San Andres,3/9/2022,Old Point,1,P1,Rm,30,9.549274255,,V,,62.00285988,,62.00286
San Andres,3/9/2022,Old Point,1,P1,Rm,44,14.00560224,,V,,150.4938881,,150.493888
San Andres,3/9/2022,Old Point,1,P1,Rm,20,6.366182837,,M,,24.24977033,16.974839,41.22461
San Andres,3/9/2022,Old Point,1,P1,Rm,14,4.456327986,,M,3,10.61849879,7.432949,18.051448
San Andres,3/9/2022,Old Point,1,P1,Rm,31,9.867583397,,V,,66.89329835,,66.893298
San Andres,3/9/2022,Old Point,1,P1,Rm,23,7.321110262,,M,3,33.51516328,23.460614,56.975778
San Andres,3/9/2022,Old Point,1,P1,Rm,15,4.774637128,,V,,12.45767432,,12.457674
San Andres,3/9/2022,Old Point,1,P1,Rm,30,9.549274255,,V,,62.00285988,,62.00286
San Andres,3/9/2022,Old Point,1,P1,Rm,31,9.867583397,,V,,66.89329835,,66.893298
San Andres,3/9/2022,Old Point,1,P1,Rm,24,7.639419404,,V,,36.98588106,,36.985881
San Andres,3/9/2022,Old Point,1,P1,Rm,24,7.639419404,,V,,36.98588106,,36.985881
San Andres,3/9/2022,Old Point,1,P1,Rm,17.5,5.570409982,,V,,17.80077353,,17.800774
San Andres,3/9/2022,Old Point,1,P1,Rm,17,5.411255411,,M,3,16.64528626,11.6517,28.296987
San Andres,3/9/2022,Old Point,1,P1,Rm,17,5.411255411,,V,,16.64528626,,16.645286
San Andres,3/9/2022,Old Point,1,P1,Rm,41,13.05067482,,V,,127.794259,,127.794259
San Andres,3/9/2022,Old Point,1,P1,Rm,25,7.957728546,,M,3,40.65213722,28.456496,69.108633
San Andres,3/9/2022,Old Point,1,P1,Rm,23,7.321110262,,V,,33.51516328,,33.515163
San Andres,3/9/2022,Old Point,1,P1,Rm,23,7.321110262,,V,,33.51516328,,33.515163
San Andres,3/9/2022,Old Point,1,P1,Rm,27.5,8.753501401,,V,,50.68971702,,50.689717
San Andres,3/9/2022,Old Point,1,P1,Rm,18,5.729564553,,V,,19.00051235,,19.000512
San Andres,3/9/2022,Old Point,1,P4,Rm,38,12.09574739,,V,,107.1780477,,107.178048
San Andres,3/9/2022,Old Point,1,P4,Rm,16.5,5.25210084,,V,,15.5336479,,15.533648
San Andres,3/9/2022,Old Point,1,P4,Ag,32.5,10.34504711,,V,,61.80386864,,61.803869
San Andres,3/9/2022,Old Point,1,P4,Rm,8.5,2.705627706,,V,,3.344386945,,3.344387
San Andres,3/9/2022,Old Point,1,P4,Rm,19.5,6.207028266,,V,,22.86914965,,22.86915
San Andres,3/9/2022,Old Point,1,P4,Ag,33.6,10.69518717,,V,,67.05902443,,67.059024
San Andres,3/9/2022,Old Point,1,P4,Ag,23,7.321110262,,V,,26.47764532,,26.477645
San Andres,3/9/2022,Old Point,1,P4,Ag,13.1,4.169849758,,M,3,6.661089366,4.662763,11.323852
San Andres,3/9/2022,Old Point,1,P4,Ag,54.1,17.22052457,,M,3,215.581237,150.906866,366.488103
San Andres,3/9/2022,Old Point,1,P4,Ag,35.6,11.33180545,,V,,77.2718277,,77.271828
San Andres,3/9/2022,Old Point,1,P4,Ag,35.1,11.17265088,,V,,74.63811834,,74.638118
San Andres,3/9/2022,Old Point,1,P4,Lr,23,7.321110262,,V,,19.63337529,,19.633375
San Andres,3/9/2022,Old Point,1,P4,Rm,6.9,2.196333079,,V,,2.063574633,,2.063575
San Andres,3/9/2022,Old Point,1,P4,Ag,24.5,7.798573975,,V,,74.63811834,,74.638118
San Andres,3/9/2022,Old Point,1,P4,Ag,33,10.50420168,,V,,26.47764532,,26.477645
San Andres,3/9/2022,Old Point,1,P4,Ag,12.6,4.010695187,,V,,1.383367411,,1.383367
San Andres,3/9/2022,Old Point,1,P4,Rm,7.3,2.323656735,,V,,2.351171446,,2.351171
San Andres,3/9/2022,Old Point,1,P4,Rm,12.7,4.042526101,,V,,8.473632716,,8.473633
San Andres,3/9/2022,Old Point,1,P4,Ag,27.5,8.753501401,,V,,41.03393726,,41.033937
San Andres,3/9/2022,Old Point,1,P4,Rm,9.5,3.023936847,,M,3,4.326695621,3.028687,7.355383
San Andres,3/9/2022,Old Point,1,P4,Ag,9,2.864782277,,M,3,2.653674096,1.857572,4.511246
San Andres,3/9/2022,Old Point,1,P4,Ag,9.6,3.055767762,,V,,3.108605469,,3.108605
San Andres,3/9/2022,Old Point,1,P4,Ag,8.2,2.610134963,,V,,2.112168914,,2.112169
San Andres,3/9/2022,Old Point,1,P4,Rm,10.5,3.342245989,,V,,5.454971236,,5.454971
San Andres,3/9/2022,Old Point,1,P4,Ag,25.7,8.180544945,,V,,34.75875906,,34.758759
San Andres,3/9/2022,Old Point,1,P4,Ag,29,9.230965113,,V,,46.74039692,,46.740397
San Andres,3/9/2022,Old Point,1,P4,Ag,16.9,5.379424497,,V,,12.4377281,,12.437728
San Andres,3/9/2022,Old Point,1,P4,Ag,14.5,4.615482557,,V,,8.543919656,,8.54392
San Andres,3/9/2022,Old Point,1,P4,Ag,12.8,4.074357016,,V,,6.293292353,,6.293292
San Andres,3/9/2022,Old Point,1,P4,Ag,8.5,2.705627706,,V,,2.306681353,,2.306681
San Andres,3/9/2022,Old Point,1,P4,Ag,9,2.864782277,,V,,2.653674096,,2.653674
San Andres,3/9/2022,Old Point,1,P4,Ag,7.2,2.291825821,,V,,1.535512323,,1.535512
San Andres,3/9/2022,Old Point,1,P4,Rm,8,2.546473135,,M,3,2.906411663,2.034488,4.9409
San Andres,3/9/2022,Old Point,1,P4,Rm,14.5,4.615482557,,V,,11.51723468,,11.517235
San Andres,3/9/2022,Old Point,1,P4,Ag,27.2,8.658008658,,V,,39.94512704,,39.945127
San Andres,3/9/2022,Old Point,1,P4,Ag,22.5,7.161955691,,M,3,25.08863911,17.562047,42.650686
San Andres,3/9/2022,Old Point,1,P4,Ag,12.8,4.074357016,,V,,6.293292353,,6.293292
San Andres,3/9/2022,Old Point,1,P4,Ag,11.4,3.628724217,,V,,4.737452283,,4.737452
San Andres,3/9/2022,Old Point,1,P4,Rm,9,2.864782277,,V,,3.817601238,,3.817601
San Andres,3/9/2022,Old Point,1,P4,Rm,12.9,4.10618793,,V,,8.785798467,,8.785798
San Andres,3/9/2022,Old Point,1,P4,Ag,7.5,2.387318564,,V,,1.697144903,,1.697145
San Andres,3/9/2022,Old Point,1,P4,Rm,21.5,6.84364655,,V,,28.66999697,,28.669997
San Andres,3/9/2022,Old Point,1,P4,Ag,15,4.774637128,,V,,9.284406875,,9.284407
San Andres,3/9/2022,Old Point,1,P4,Rm,9.5,3.023936847,,V,,4.326695621,,4.326696
San Andres,3/9/2022,Old Point,1,P4,Ag,8.5,2.705627706,,M,3,2.306681353,1.614677,3.921358
San Andres,3/9/2022,Old Point,1,P4,Rm,7.8,2.482811306,,V,,2.740939909,,2.74094
San Andres,3/9/2022,Old Point,1,P4,Ag,33.8,10.75884899,,V,,68.04187907,,68.041879
San Andres,3/9/2022,Old Point,1,P4,Rm,9.6,3.055767762,,V,,4.432874812,,4.432875
San Andres,3/9/2022,Old Point,1,P4,Ag,31.9,10.15406162,,V,,59.04387367,,59.043874
San Andres,3/9/2022,Old Point,1,P4,Rm,9.5,3.023936847,,V,,4.326695621,,4.326696
San Andres,3/9/2022,Old Point,1,P4,Rm,8.7,2.769289534,,V,,3.529407517,,3.529408
San Andres,3/9/2022,Old Point,1,P4,Ag,27,8.59434683,,V,,39.22886701,,39.228867
San Andres,3/9/2022,Old Point,1,P7,Ag,8.9,2.832951362,,V,,2.581967099,,2.581967
San Andres,3/9/2022,Old Point,1,P7,Ag,29.6,9.421950598,,V,,49.14701127,,49.147011
San Andres,3/9/2022,Old Point,1,P7,Ag,20.5,6.525337408,,V,,19.96908501,,19.969085
San Andres,3/9/2022,Old Point,1,P7,Ag,46.8,14.89686784,,V,,151.1029637,,151.102964
San Andres,3/9/2022,Old Point,1,P7,Ag,18.5,5.888719124,,V,,15.52587736,,15.525877
San Andres,3/9/2022,Old Point,1,P7,Ag,14.9,4.742806213,,V,,9.133389922,,9.13339
San Andres,3/9/2022,Old Point,1,P7,Ag,11.8,3.756047874,,M,3,5.155423442,3.608796,8.76422
San Andres,3/9/2022,Old Point,1,P7,Ag,9.2,2.928444105,,V,,2.800591981,,2.800592
San Andres,3/9/2022,Old Point,1,P7,Ag,11.2,3.565062389,,V,,4.536271618,,4.536272
San Andres,3/9/2022,Old Point,1,P7,Ag,11.4,3.628724217,,V,,4.737452283,,4.737452
San Andres,3/9/2022,Old Point,1,P7,Ag,18.9,6.016042781,,V,,16.3618584,,16.361858
San Andres,3/9/2022,Old Point,1,P7,Ag,15.8,5.029284441,,M,3,10.54578237,7.382048,17.92783
San Andres,3/9/2022,Old Point,1,P7,Ag,21.9,6.970970206,,V,,23.47999829,,23.479998
San Andres,3/9/2022,Old Point,1,P7,Ag,10.2,3.246753247,,V,,3.606751871,,3.606752
San Andres,3/9/2022,Old Point,1,P7,Ag,11.7,3.72421696,,V,,5.048966648,,5.048967
San Andres,3/9/2022,Old Point,1,P7,Ag,17.5,5.570409982,,M,3,13.54838747,9.483871,23.032259
San Andres,3/9/2022,Old Point,1,P7,Ag,41.5,13.20982939,,V,,112.5381427,,112.538143
San Andres,3/9/2022,Old Point,1,P7,Ag,9,2.864782277,,V,,2.653674096,,2.653674
San Andres,3/9/2022,Old Point,1,P7,Ag,45.2,14.38757321,,V,,138.7503621,,138.750362
San Andres,3/9/2022,Old Point,1,P7,Ag,26.5,8.435192259,,V,,37.47167734,,37.471677
San Andres,3/9/2022,Old Point,1,P7,Ag,33.6,10.69518717,,M,3,67.05902443,46.941317,114.000342
San Andres,3/9/2022,Old Point,1,P7,Ag,33.2,10.56786351,,V,,65.1186614,,65.118661
San Andres,3/9/2022,Old Point,1,P7,Ag,10.2,3.246753247,,V,,3.606751871,,3.606752
San Andres,3/9/2022,Old Point,1,P7,Ag,14.6,4.647313471,,V,,8.689106518,,8.689107
San Andres,3/9/2022,Old Point,1,P7,Ag,20.4,6.493506494,,V,,19.73110947,,19.731109
San Andres,3/9/2022,Old Point,1,P7,Ag,10.9,3.469569646,,V,,4.244140667,,4.244141
San Andres,3/9/2022,Old Point,1,P7,Ag,13.2,4.201680672,,V,,6.78644497,,6.786445
San Andres,3/9/2022,Old Point,1,P7,Ag,9.6,3.055767762,,V,,3.108605469,,3.108605
San Andres,3/9/2022,Old Point,1,P7,Ag,13.2,4.201680672,,V,,6.78644497,,6.786445
San Andres,3/9/2022,Old Point,1,P7,Ag,8.6,2.73745862,,M,3,2.37378334,1.661648,4.035432
San Andres,3/9/2022,Old Point,1,P7,Ag,17.9,5.697733639,,V,,14.32026322,,14.320263
San Andres,3/9/2022,Old Point,1,P7,Ag,46.4,14.76954418,,V,,147.9562644,,147.956264
San Andres,3/9/2022,Old Point,1,P7,Ag,27.3,8.689839572,,V,,40.3061379,,40.306138
San Andres,3/9/2022,Old Point,1,P7,Ag,28.4,9.039979628,,V,,44.40499229,,44.404992
San Andres,3/9/2022,Old Point,1,P7,Ag,57.6,18.33460657,,V,,251.3963844,,251.396384
San Andres,3/9/2022,Old Point,1,P7,Ag,16.8,5.347593583,,V,,12.258067,,12.258067
San Andres,3/9/2022,Old Point,1,P7,Ag,10.2,3.246753247,,V,,3.606751871,,3.606752
San Andres,3/9/2022,Old Point,1,P7,Ag,17.9,5.697733639,,V,,14.32026322,,14.320263
San Andres,3/9/2022,Old Point,1,P7,Rm,8.5,2.705627706,,V,,3.344386945,,3.344387
San Andres,3/9/2022,Old Point,1,P7,Ag,28.3,9.008148714,,V,,44.02263446,,44.022634
San Andres,3/9/2022,Old Point,1,P7,Ag,14.6,4.647313471,,V,,8.689106518,,8.689107
San Andres,3/9/2022,Old Point,1,P7,Ag,18.9,6.016042781,,V,,16.3618584,,16.361858
San Andres,3/9/2022,Old Point,1,P7,Ag,23.4,7.448433919,,V,,27.62089471,,27.620895
San Andres,3/9/2022,Old Point,1,P7,Ag,15.4,4.901960784,,V,,9.903205154,,9.903205
San Andres,3/9/2022,Old Point,1,P7,Ag,11.8,3.756047874,,V,,5.155423442,,5.155423
San Andres,3/9/2022,Old Point,1,P7,Ag,17.2,5.47491724,,V,,12.98602749,,12.986027
San Andres,3/9/2022,Old Point,1,P7,Ag,14.3,4.551820728,,V,,8.257880383,,8.25788
San Andres,3/9/2022,Old Point,1,P7,Ag,35.9,11.42729819,,V,,78.87807156,,78.878072
San Andres,3/10/2022,Old Point,2,P2,Rm,8,2.546473135,,M,3,2.906411663,2.034488,4.9409
San Andres,3/10/2022,Old Point,2,P2,Rm,22.5,7.161955691,,V,,31.85231962,,31.85232
San Andres,3/10/2022,Old Point,2,P2,Rm,28.7,9.135472371,,V,,55.95859945,,55.958599
San Andres,3/10/2022,Old Point,2,P2,Ag,23.1,7.352941176,,M,3,26.7607768,18.732544,45.493321
San Andres,3/10/2022,Old Point,2,P2,Lr,38,12.09574739,,M,3,60.04464944,42.031255,102.075904
San Andres,3/10/2022,Old Point,2,P2,Lr,38.2,12.15940922,,V,,60.75051799,,60.750518
San Andres,3/10/2022,Old Point,2,P2,Rm,19,6.047873695,,M,1,21.53431656,15.074022,36.608338
San Andres,3/10/2022,Old Point,2,P2,Rm,47,14.96052967,,V,,175.3238711,,175.323871
San Andres,3/10/2022,Old Point,2,P2,Rm,3.9,1.241405653,,V,,0.550712286,,0.550712
San Andres,3/10/2022,Old Point,2,P2,Rm,42.5,13.52813853,,V,,138.8806596,,138.88066
San Andres,3/10/2022,Old Point,2,P2,Rm,31.5,10.02673797,,V,,69.41787355,,69.417874
San Andres,3/10/2022,Old Point,2,P2,Rm,22.5,7.161955691,,V,,31.85231962,,31.85232
San Andres,3/10/2022,Old Point,2,P2,Lr,49.4,15.72447161,,V,,107.6856399,,107.68564
San Andres,3/10/2022,Old Point,2,P2,Rm,39,12.41405653,,V,,113.8216207,,113.821621
San Andres,3/10/2022,Old Point,2,P2,Ag,33.2,10.56786351,,M,3,65.1186614,45.583063,110.701724
San Andres,3/10/2022,Old Point,2,P2,Rm,10.2,3.246753247,,V,,5.100877084,,5.100877
San Andres,3/10/2022,Old Point,2,P5,Ag,15.1,4.806468042,,V,,9.436892468,,9.436892
San Andres,3/10/2022,Old Point,2,P5,Rm,10.7,3.405907818,,V,,5.698560209,,5.69856
San Andres,3/10/2022,Old Point,2,P5,Ag,23.4,7.448433919,,M,2,27.62089471,23.47776,51.098655
San Andres,3/10/2022,Old Point,2,P5,Ag,39.4,12.54138019,,V,,99.08531896,,99.085319
San Andres,3/10/2022,Old Point,2,P5,Ag,45.6,14.51489687,,V,,141.7801167,,141.780117
San Andres,3/10/2022,Old Point,2,P5,Ag,13.8,4.392666157,,V,,7.567854624,,7.567855
San Andres,3/10/2022,Old Point,2,P5,Ag,21.2,6.748153807,,V,,21.68247503,,21.682475
San Andres,3/10/2022,Old Point,2,P5,Ag,35.8,11.39546728,,V,,78.34048233,,78.340482
San Andres,3/10/2022,Old Point,2,P5,Ag,9.3,2.960275019,,V,,2.875814503,,2.875815
San Andres,3/10/2022,Old Point,2,P5,Ag,19.6,6.23885918,,M,3,17.8877384,12.521417,30.409155
San Andres,3/10/2022,Old Point,2,P5,Ag,48.4,15.40616246,,V,,164.0841372,,164.084137
San Andres,3/10/2022,Old Point,2,P5,Ag,35.8,11.39546728,,V,,78.34048233,,78.340482
San Andres,3/10/2022,Old Point,2,P5,Ag,9.2,2.928444105,,V,,2.800591981,,2.800592
San Andres,3/10/2022,Old Point,2,P5,Ag,14.6,4.647313471,,V,,8.689106518,,8.689107
San Andres,3/10/2022,Old Point,2,P5,Ag,9.2,2.928444105,,V,,2.800591981,,2.800592
San Andres,3/10/2022,Old Point,2,P5,Rm,10.9,3.469569646,,V,,5.948212173,,5.948212
San Andres,3/10/2022,Old Point,2,P5,Rm,9.4,2.992105933,,V,,4.221976389,,4.221976
San Andres,3/10/2022,Old Point,2,P5,Ag,18.9,6.016042781,,V,,16.3618584,,16.361858
San Andres,3/10/2022,Old Point,2,P5,Ag,20.6,6.557168322,,V,,20.20875175,,20.208752
San Andres,3/10/2022,Old Point,2,P5,Ag,56.1,17.85714286,,V,,235.6478445,,235.647845
San Andres,3/10/2022,Old Point,2,P5,Ag,8.6,2.73745862,,V,,2.37378334,,2.373783
San Andres,3/10/2022,Old Point,2,P5,Ag,11.7,3.72421696,,M,3,5.048966648,3.534277,8.583243
San Andres,3/10/2022,Old Point,2,P5,Rm,7.8,2.482811306,,V,,2.740939909,,2.74094
San Andres,3/10/2022,Old Point,2,P5,Rm,9,2.864782277,,V,,3.817601238,,3.817601
San Andres,3/10/2022,Old Point,2,P5,Ag,9.7,3.087598676,,V,,3.188595916,,3.188596
San Andres,3/10/2022,Old Point,2,P5,Ag,15.4,4.901960784,,V,,9.903205154,,9.903205
San Andres,3/10/2022,Old Point,2,P5,Ag,7.9,2.514642221,,M,2,1.927718274,1.638561,3.566279
San Andres,3/10/2022,Old Point,2,P5,Ag,15.1,4.806468042,,M,3,9.436892468,6.605825,16.042717
San Andres,3/10/2022,Old Point,2,P5,Ag,8.4,2.673796791,,V,,2.240715665,,2.240716
San Andres,3/10/2022,Old Point,2,P5,Ag,13.7,4.360835243,,M,2,7.434110963,6.318994,13.753105
San Andres,3/10/2022,Old Point,2,P5,Ag,27.8,8.848994143,,V,,42.14012804,,42.140128
San Andres,3/10/2022,Old Point,2,P5,Rm,9.7,3.087598676,,V,,4.540518788,,4.540519
San Andres,3/10/2022,Old Point,2,P5,Ag,28,8.912655971,,V,,42.8872866,,42.887287
San Andres,3/10/2022,Old Point,2,P5,Rm,7.9,2.514642221,,V,,2.822987046,,2.822987
San Andres,3/10/2022,Old Point,2,P5,Rm,10.6,3.374076903,,V,,5.576010085,,5.57601
San Andres,3/10/2022,Old Point,2,P5,Ag,12.2,3.88337153,,M,3,5.594478659,3.916135,9.510614
San Andres,3/10/2022,Old Point,2,P5,Ag,8,2.546473135,,V,,1.988094143,,1.988094
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
San Andres,3/10/2022,Old Point,2,P5,Ag,21.2,6.748153807,,V,,21.68247503,,21.682475
